algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity,encoder,Strategy
AdaBoostClassifier,0.4145530223846435,0.0104034423828125,0.8663492063492063,0.8676470588235293,0.8765656565656565,0.8676470588235293,0.9090909090909092,0.8571428571428571,1.0,0.9230769230769232,0.8280786712108251,1.0,0.8,plusrnn,Embedding-based
GradientBoostingClassifier,1.6011862754821775,0.0039534091949462,0.7952614379084967,0.7955882352941176,0.8005929038281978,0.7955882352941176,0.8636363636363636,0.9090909090909092,0.8333333333333334,0.8695652173913043,0.7302967433402214,0.8333333333333334,0.9,plusrnn,Embedding-based
HistGradientBoostingClassifier,0.0709073066711425,0.0053578376770019,0.8287259627197707,0.8323529411764706,0.8410644257703079,0.8323529411764706,0.9090909090909092,0.8571428571428571,1.0,0.9230769230769232,0.8280786712108251,1.0,0.8,plusrnn,Embedding-based
ExtraTrees-ensemble,0.0669795513153076,0.0163016319274902,0.8404906686021236,0.8441176470588235,0.8541363211951447,0.8441176470588235,0.9090909090909092,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8166666666666667,0.9166666666666666,0.9,plusrnn,Embedding-based
XGBClassifier,0.06051025390625,0.0063121318817138,0.8286468433527258,0.8323529411764706,0.8453968253968254,0.8323529411764706,0.9090909090909092,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8166666666666667,0.9166666666666666,0.9,plusrnn,Embedding-based
LGBMClassifier,0.0544305324554443,0.0088025569915771,0.8289736407383467,0.8323529411764706,0.8416993464052288,0.8323529411764706,0.8636363636363636,0.8461538461538461,0.9166666666666666,0.88,0.725796546409961,0.9166666666666666,0.8,plusrnn,Embedding-based
GaussianProcessClassifier,0.0043784141540527,0.0050546646118164,0.8448567497174307,0.8463235294117647,0.8562257024021729,0.8463235294117647,0.6363636363636364,0.5882352941176471,0.9090909090909092,0.7142857142857143,0.3253956867279842,0.9090909090909092,0.3636363636363636,plusrnn,Embedding-based
RidgeClassifier,0.0019680023193359,0.0043556690216064,0.8564580569069733,0.8580882352941176,0.8715524997877939,0.8580882352941176,0.6818181818181818,0.625,0.9090909090909092,0.7407407407407407,0.408248290463863,0.9090909090909092,0.4545454545454545,plusrnn,Embedding-based
LogisticRegression,0.0113973140716552,0.0039765834808349,0.8448567497174307,0.8463235294117647,0.8562257024021729,0.8463235294117647,0.6363636363636364,0.5882352941176471,0.9090909090909092,0.7142857142857143,0.3253956867279842,0.9090909090909092,0.3636363636363636,plusrnn,Embedding-based
SGDClassifier,0.0025686264038085,0.0044238567352294,0.8203508771929824,0.8213235294117647,0.8331177319412614,0.8213235294117647,0.5909090909090909,0.75,0.2727272727272727,0.4,0.2357022603955158,0.2727272727272727,0.9090909090909092,plusrnn,Embedding-based
