algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity,encoder,Strategy
BaggingClassifier,0.0318614482879638,0.0148318290710449,0.7569399846799227,0.7625,0.7800153318903319,0.7625,0.8,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.5833333333333334,0.8333333333333334,0.75,plusrnn,Embedding-based
AdaBoostClassifier,0.3814289569854736,0.0091527462005615,0.6858199643493762,0.7,0.7187900987900988,0.7,0.85,0.9090909090909092,0.8333333333333334,0.8695652173913043,0.6975184488828855,0.8333333333333334,0.875,plusrnn,Embedding-based
GradientBoostingClassifier,1.6987067699432372,0.0043429851531982,0.6741545893719807,0.6875,0.7114880952380952,0.6875,0.7,0.8,0.6666666666666666,0.7272727272727273,0.408248290463863,0.6666666666666666,0.75,plusrnn,Embedding-based
HistGradientBoostingClassifier,0.0678164958953857,0.0053882598876953,0.7669230116288941,0.775,0.7983035714285714,0.775,0.85,0.9090909090909092,0.8333333333333334,0.8695652173913043,0.6975184488828855,0.8333333333333334,0.875,plusrnn,Embedding-based
ExtraTrees-ensemble,0.0640689373016357,0.0160669803619384,0.80778935460824,0.8125,0.8365494227994226,0.8125,0.85,0.9090909090909092,0.8333333333333334,0.8695652173913043,0.6975184488828855,0.8333333333333334,0.875,plusrnn,Embedding-based
XGBClassifier,0.0561513423919677,0.0059805870056152,0.7138448909191945,0.725,0.7497298534798535,0.725,0.75,0.8181818181818182,0.75,0.782608695652174,0.4923659639173309,0.75,0.75,plusrnn,Embedding-based
LGBMClassifier,0.0448845863342285,0.0082382202148437,0.7441646820671588,0.75,0.7594011544011544,0.75,0.85,0.9090909090909092,0.8333333333333334,0.8695652173913043,0.6975184488828855,0.8333333333333334,0.875,plusrnn,Embedding-based
GaussianProcessClassifier,0.0031734466552734,0.0039037704467773,0.7085113145181795,0.725,0.7698214285714287,0.725,0.85,0.7272727272727273,1.0,0.8421052631578947,0.7385489458759964,1.0,0.75,plusrnn,Embedding-based
RidgeClassifier,0.0015522956848144,0.0035941123962402,0.7281566318098825,0.7375,0.7698434898434898,0.7375,0.9,0.8,1.0,0.8888888888888888,0.816496580927726,1.0,0.8333333333333334,plusrnn,Embedding-based
LogisticRegression,0.0114415645599365,0.0045027256011962,0.7401080790554475,0.75,0.7850815850815851,0.75,0.9,0.8,1.0,0.8888888888888888,0.816496580927726,1.0,0.8333333333333334,plusrnn,Embedding-based
