algorithm,fit_time,score_time,F1_cv,recall_cv,precision_cv,accuracy_cv,accuracy_val,precision_val,recall_val,f1_val,matthews_corrcoef_val,sensitivity,specificity,encoder,Strategy
ExtraTreeClassifier,0.0007312774658203,0.0041515350341796,0.8510017923253217,0.8538461538461538,0.87497557997558,0.8538461538461538,0.9444444444444444,0.8888888888888888,1.0,0.9411764705882352,0.8944271909999159,1.0,0.9,plusrnn,Embedding-based
RandomForestClassifier,0.0896400928497314,0.0165161609649658,0.9402863802863802,0.9406593406593406,0.9445054945054944,0.9406593406593406,0.8333333333333334,0.7272727272727273,1.0,0.8421052631578947,0.7135060680126758,1.0,0.7,plusrnn,Embedding-based
BaggingClassifier,0.0244765758514404,0.0212954998016357,0.9263003663003662,0.9263736263736264,0.9281593406593408,0.9263736263736264,0.7777777777777778,0.6666666666666666,1.0,0.8,0.6324555320336759,1.0,0.6,plusrnn,Embedding-based
AdaBoostClassifier,0.2751266479492187,0.0084161758422851,0.8507051282051282,0.8527472527472527,0.8689102564102565,0.8527472527472527,0.9444444444444444,0.8888888888888888,1.0,0.9411764705882352,0.8944271909999159,1.0,0.9,plusrnn,Embedding-based
GradientBoostingClassifier,0.7033914566040039,0.0038139820098876,0.8965567765567766,0.8967032967032967,0.9024725274725274,0.8967032967032967,0.8333333333333334,0.7272727272727273,1.0,0.8421052631578947,0.7135060680126758,1.0,0.7,plusrnn,Embedding-based
HistGradientBoostingClassifier,0.0425948143005371,0.0046613693237304,0.9416849816849816,0.9417582417582416,0.9457417582417582,0.9417582417582416,0.9444444444444444,0.8888888888888888,1.0,0.9411764705882352,0.8944271909999159,1.0,0.9,plusrnn,Embedding-based
ExtraTrees-ensemble,0.0655643939971923,0.0161540985107421,0.925088245088245,0.9252747252747252,0.9271978021978022,0.9252747252747252,0.8333333333333334,0.7777777777777778,0.875,0.8235294117647058,0.6708203932499369,0.875,0.8,plusrnn,Embedding-based
XGBClassifier,0.0376478672027587,0.0058993339538574,0.9271794871794872,0.9274725274725276,0.9326465201465204,0.9274725274725276,0.8888888888888888,0.8,1.0,0.8888888888888888,0.8,1.0,0.8,plusrnn,Embedding-based
LGBMClassifier,0.0451590538024902,0.0064649105072021,0.925967365967366,0.9263736263736264,0.9316849816849816,0.9263736263736264,0.9444444444444444,0.8888888888888888,1.0,0.9411764705882352,0.8944271909999159,1.0,0.9,plusrnn,Embedding-based
GaussianProcessClassifier,0.00347580909729,0.0047130584716796,0.9078787878787878,0.90989010989011,0.9307692307692308,0.90989010989011,0.9444444444444444,0.9166666666666666,1.0,0.9565217391304348,0.8864052604279183,1.0,0.8571428571428571,plusrnn,Embedding-based
RidgeClassifier,0.0017506122589111,0.0042349338531494,0.9222377622377624,0.9241758241758242,0.9432692307692306,0.9241758241758242,0.9444444444444444,0.9166666666666666,1.0,0.9565217391304348,0.8864052604279183,1.0,0.8571428571428571,plusrnn,Embedding-based
LogisticRegression,0.0113595962524414,0.0039502620697021,0.9222377622377624,0.9241758241758242,0.9432692307692306,0.9241758241758242,0.9444444444444444,0.9166666666666666,1.0,0.9565217391304348,0.8864052604279183,1.0,0.8571428571428571,plusrnn,Embedding-based
SGDClassifier,0.0017702579498291,0.0041301250457763,0.9222377622377624,0.9241758241758242,0.9432692307692306,0.9241758241758242,1.0,1.0,1.0,1.0,1.0,1.0,1.0,plusrnn,Embedding-based
LinearDiscriminantAnalysis,0.0076612949371337,0.0063296318054199,0.829585708409238,0.8362637362637363,0.8775627943485086,0.8362637362637363,0.8888888888888888,0.8461538461538461,1.0,0.9166666666666666,0.7774288420142416,1.0,0.7142857142857143,plusrnn,Embedding-based
QuadraticDiscriminantAnalysis,0.0052252769470214,0.0067864418029785,0.7521764346764346,0.7615384615384616,0.7929209679209679,0.7615384615384616,0.6666666666666666,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.2987012987012987,0.7272727272727273,0.5714285714285714,plusrnn,Embedding-based
SVC,0.0018374919891357,0.0068907260894775,0.9403263403263404,0.9406593406593406,0.9483516483516484,0.9406593406593406,0.9444444444444444,0.9166666666666666,1.0,0.9565217391304348,0.8864052604279183,1.0,0.8571428571428571,plusrnn,Embedding-based
KNeighborsClassifier,0.000694990158081,0.0055509090423583,0.9097677322677322,0.910989010989011,0.9287393162393162,0.910989010989011,0.8888888888888888,0.8461538461538461,1.0,0.9166666666666666,0.7774288420142416,1.0,0.7142857142857143,plusrnn,Embedding-based
GaussianNB,0.0010904788970947,0.0046112537384033,0.9403263403263404,0.9406593406593406,0.9483516483516484,0.9406593406593406,0.9444444444444444,0.9166666666666666,1.0,0.9565217391304348,0.8864052604279183,1.0,0.8571428571428571,plusrnn,Embedding-based
DecisionTreeClassifier,0.0102299690246582,0.004315710067749,0.8793648018648019,0.8802197802197803,0.8902777777777778,0.8802197802197803,0.8333333333333334,1.0,0.7272727272727273,0.8421052631578947,0.7135060680126758,0.7272727272727273,1.0,plusrnn,Embedding-based
ExtraTreeClassifier,0.0008527755737304,0.004240608215332,0.8193281718281717,0.8230769230769232,0.8481990231990233,0.8230769230769232,0.9444444444444444,0.9166666666666666,1.0,0.9565217391304348,0.8864052604279183,1.0,0.8571428571428571,plusrnn,Embedding-based
RandomForestClassifier,0.0923195362091064,0.0161835193634033,0.938934398934399,0.9395604395604396,0.9509615384615384,0.9395604395604396,1.0,1.0,1.0,1.0,1.0,1.0,1.0,plusrnn,Embedding-based
BaggingClassifier,0.0223171234130859,0.0184513568878173,0.878974358974359,0.8791208791208792,0.8826923076923077,0.8791208791208792,1.0,1.0,1.0,1.0,1.0,1.0,1.0,plusrnn,Embedding-based
AdaBoostClassifier,0.2802828311920166,0.0080984115600585,0.9101340326340326,0.910989010989011,0.9210470085470084,0.910989010989011,1.0,1.0,1.0,1.0,1.0,1.0,1.0,plusrnn,Embedding-based
GradientBoostingClassifier,0.8241368293762207,0.0038344383239746,0.9403263403263404,0.9406593406593406,0.9483516483516484,0.9406593406593406,0.7222222222222222,0.8,0.7272727272727273,0.7619047619047619,0.4332001127219817,0.7272727272727273,0.7142857142857143,plusrnn,Embedding-based
HistGradientBoostingClassifier,0.0447059154510498,0.0047598838806152,0.9557109557109558,0.956043956043956,0.9615384615384616,0.956043956043956,1.0,1.0,1.0,1.0,1.0,1.0,1.0,plusrnn,Embedding-based
ExtraTrees-ensemble,0.0656335353851318,0.016051959991455,0.9700699300699304,0.9703296703296704,0.9740384615384616,0.9703296703296704,1.0,1.0,1.0,1.0,1.0,1.0,1.0,plusrnn,Embedding-based
XGBClassifier,0.0377253532409668,0.0057773113250732,0.9403263403263404,0.9406593406593406,0.9483516483516484,0.9406593406593406,0.9444444444444444,1.0,0.9090909090909092,0.9523809523809524,0.8918825850158447,0.9090909090909092,1.0,plusrnn,Embedding-based
LGBMClassifier,0.0393926620483398,0.0062799453735351,0.9557109557109558,0.956043956043956,0.9615384615384616,0.956043956043956,1.0,1.0,1.0,1.0,1.0,1.0,1.0,plusrnn,Embedding-based
GaussianProcessClassifier,0.0034927368164062,0.0048164844512939,0.9266999666999668,0.9274725274725276,0.9457221350078492,0.9274725274725276,0.8888888888888888,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.75,0.9166666666666666,0.8333333333333334,plusrnn,Embedding-based
RidgeClassifier,0.0018299579620361,0.0043885231018066,0.9266999666999668,0.9274725274725276,0.9457221350078492,0.9274725274725276,0.8888888888888888,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.75,0.9166666666666666,0.8333333333333334,plusrnn,Embedding-based
